"CoP","CoPyear","CoPcity","Status","Delegation","URL","Honorific","PersonID","Affiliation","AffiliationStatus","CoPlatitude","CoPlongitude","Latitude","Longitude","GeoPrecision","Distance","Party","Observer","Female","Male","DelegationCOW","Delegation_ISO"
"CoP12",2002,"Santiago (Chile)","Observers","Greenpeace International","https://cites.org/sites/default/files/common/cop/12/participants_observer.pdf","NA","34171724095998852829101707497","Greater London, England, United Kingdom","City",-33.4377756,-70.6504502,"51.51","-0.13","city","11670.7806003066",0,1,0,1,NA,NA
"CoP12",2002,"Santiago (Chile)","Observers","International Foundation for the Conservation of Natural Resources","https://cites.org/sites/default/files/common/cop/12/participants_observer.pdf","NA","54473247139221819917466154016","Poolesville, Maryland, United States","City",-33.4377756,-70.6504502,"39.15","-77.42","city","8101.49440833027",0,1,0,1,NA,NA
"CoP7",1989,"Lausanne (Switzerland)","Observers","Mexico","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Observers.pdf","NA","44745187152889754035938559398","Mexico City, Mexico City, Mexico","City",46.5218269,6.6327025,"19.43","-99.13","city","9592.41589849632",0,1,1,0,70,"MEX"
"CoP3",1981,"New Delhi (India)","Observers","Zimbabwe","https://cites.org/sites/default/files/eng/cop/03/E03-List-of-Participants-Observers.pdf","NA","43034499045131297682890855276","Department of National Parks and Wild Life Management Causeway Salisbury","KeptOriginal",28.6430858,77.2192671,"-34.93","138.6","city","9560.08321148351",0,1,0,1,552,"ZWE"
"CoP9",1994,"Fort Lauderdale (United States of America)","Parties","Slovakia","https://cites.org/sites/default/files/eng/cop/09/E9-participants.pdf","NA","56162377390703809867521235060","Bratislava, Region of Bratislava, Slovakia","City",26.1223084,-80.1433786,"48.16","17.13","city","8383.27303210515",1,0,0,1,317,"SVK"
"CoP12",2002,"Santiago (Chile)","Parties","Czech Republic","https://cites.org/sites/default/files/common/cop/12/participants_party.pdf","NA","20357318899003820195336508888","Ministry of the Environment Department for the International Conservation of Biodiversity Vrsovicka PRAHA","KeptOriginal",-33.4377756,-70.6504502,"50.09","14.42","city","12467.9718536628",1,0,0,1,316,"CZE"
"CoP11",2000,"Gigiri (Kenya)","Parties","Tanzania, United Republic of","https://cites.org/sites/default/files/eng/cop/11/other/list_participants.pdf","NA","37679992604865951194611119821","Dar es-Salaam, Coastal Zone, Tanzania","City",-1.2325029,36.8072952,"-6.82","39.28","city","679.102937913515",1,0,0,1,510,"TZA"
"CoP5",1985,"Buenos Aires (Argentina)","Observers","Food and Agriculture Organization of the United Nations","https://cites.org/sites/default/files/eng/cop/05/E05-List-of-Participants-Observers.pdf","NA","41694710016275276900877885211","Forest Resources Division Forestry Department delle Terme dí Caracalla Roma Italia","KeptOriginal",-34.6083696,-58.4440583,"41.89","12.48","city","11154.0440368222",0,1,0,1,NA,NA
"CoP12",2002,"Santiago (Chile)","Parties","Thailand","https://cites.org/sites/default/files/common/cop/12/participants_party.pdf","NA","63869039461111758643956822419","Bangkok, Thailand","City",-33.4377756,-70.6504502,"13.75","100.49","city","17649.7969790568",1,0,0,1,800,"THA"
"CoP8",1992,"Kyoto (Japan)","Observers","Traffic Network","https://cites.org/sites/default/files/eng/cop/08/E-Participants.pdf","NA","39059757405006048053991125772","Sydney, New South Wales, Australia","City",35.0115754,135.7681441,"-33.87","151.21","city","7826.11930566925",0,1,1,0,NA,NA
"CoP14",2007,"The Hague (the Netherlands)","Observers","Species Survival Network","https://cites.org/sites/default/files/common/cop/14/list_observer.pdf","NA","52567559130021175122152935764","Washington, District of Columbia, United States","City",52.0799838,4.3113461,"38.9","-77.04","city","6164.39228684061",0,1,1,0,NA,NA
"CoP15",2010,"Doha (Qatar)","Parties","Syrian Arab Republic","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","76069501306053582952773139911","DAMASCUS","KeptOriginal",25.2856329,51.5264162,"33.51","36.29","city","1733.38626522368",1,0,1,0,652,"SYR"
"CoP6",1987,"Ottawa (Canada)","Observers","International Porcupine Caribou Commission","https://cites.org/sites/default/files/eng/cop/06/E06-List-of-Participants-Observers.pdf","NA","72670972760161285328694906832","Anchorage, Alaska, United States","City",45.4208777,-75.6901106,"61.22","-149.89","city","4920.31985435641",0,1,0,1,NA,NA
"CoP12",2002,"Santiago (Chile)","Observers","Cites Secretariat","https://cites.org/sites/default/files/common/cop/12/participants_observer.pdf","NA","26552782662044800639647962854","Arlington, Virginia, United States","City",-33.4377756,-70.6504502,"38.88","-77.09","city","8068.75801002308",0,1,0,1,NA,NA
"CoP14",2007,"The Hague (the Netherlands)","Parties","China","https://cites.org/sites/default/files/common/cop/14/list_party.pdf","NA","48946661623940300112167529977","Heishichuan, Gansu, China","City",52.0799838,4.3113461,"36.51","103.89","city","7474.80216864988",1,0,0,1,710,"CHN"
"CoP4",1983,"Gaborone (Botswana)","Observers","Pet Industry Joint Advisory Council","https://cites.org/sites/default/files/eng/cop/04/E04-List-of-Participants-Observers.pdf","NA","23082235595240367890146829285","Park Crescent Hornchurch Essex Great Britain","KeptOriginal",-24.6581357,25.9088474,"51.51","-0.13","city","8843.72161915174",0,1,0,1,NA,NA
"CoP9",1994,"Fort Lauderdale (United States of America)","Parties","Zimbabwe","https://cites.org/sites/default/files/eng/cop/09/E9-participants.pdf","NA","64212724776947370231946143251","Harare, Harare, Zimbabwe","City",26.1223084,-80.1433786,"-17.83","31.05","city","12937.2463627332",1,0,0,1,552,"ZWE"
"CoP4",1983,"Gaborone (Botswana)","Parties","Canada","https://cites.org/sites/default/files/eng/cop/04/E04-List-of-Participants-Parties.pdf","NA","31201105083192766927840106380","Ottawa, Ontario, Canada","City",-24.6581357,25.9088474,"45.42","-75.69","city","12807.1034001289",1,0,0,1,20,"CAN"
"CoP6",1987,"Ottawa (Canada)","Parties","France","https://cites.org/sites/default/files/eng/cop/06/E06-List-of-Participants-Parties.pdf","NA","24609712607780527632517664695","Faculté des sciences Université de la Réunion Ste-Clotilde La Réunion","KeptOriginal",45.4208777,-75.6901106,"-20.88","55.45","city","14817.904138667",1,0,0,1,220,"FRA"
"CoP12",2002,"Santiago (Chile)","Parties","Cambodia","https://cites.org/sites/default/files/common/cop/12/participants_party.pdf","NA","6803545640499957190515773480","Under-Secretary of State Ministry of Agriculture Forestry and Fisheries Norodom PHNOM PENH","KeptOriginal",-33.4377756,-70.6504502,"42.54","1.58","city","11192.4121108717",1,0,1,0,811,"KHM"
"CoP15",2010,"Doha (Qatar)","Parties","Botswana","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","31187978165298819320861242732","Department of Wildlife and National Parks GABORONE","KeptOriginal",25.2856329,51.5264162,"-22.1","22.8","state_province","6112.78999781663",1,0,0,1,571,"BWA"
"CoP12",2002,"Santiago (Chile)","Observers","Traffic","https://cites.org/sites/default/files/common/cop/12/participants_observer.pdf","NA","42572316421470340988443289011","Minato, Japan","City",-33.4377756,-70.6504502,"35.66","139.75","city","17230.9987420472",0,1,0,1,NA,NA
"CoP5",1985,"Buenos Aires (Argentina)","Parties","Colombia","https://cites.org/sites/default/files/eng/cop/05/E05-List-of-Participants-Parties.pdf","NA","2643373995570681263347788545","Bogota, Bogota, Capital District, Colombia","City",-34.6083696,-58.4440583,"4.65","-74.08","city","4662.58897969526",1,0,0,1,100,"COL"
"CoP6",1987,"Ottawa (Canada)","Observers","United Kingdom","https://cites.org/sites/default/files/eng/cop/06/E06-List-of-Participants-Observers.pdf","NA","42570126182743740331294654026","England, United Kingdom","State",45.4208777,-75.6901106,"54.06","-1.1","city","5189.85223126528",0,1,0,1,200,"GBR"
"CoP9",1994,"Fort Lauderdale (United States of America)","Parties","Sudan","https://cites.org/sites/default/files/eng/cop/09/E9-participants.pdf","NA","70550393154277208840600104839","Wildlife Conservation Administration KHARTOUM","KeptOriginal",26.1223084,-80.1433786,"0.11","35.16","city","12510.9764004185",1,0,0,1,625,"SDN"
"CoP12",2002,"Santiago (Chile)","Parties","Cote D'ivoire","https://cites.org/sites/default/files/common/cop/12/participants_party.pdf","NA","65108055964656505495003825242","Direction de la Protection de la Nature Direction générale des eaux et forêts Ministère de l'agriculture et des ressources animales ABIDJAN","KeptOriginal",-33.4377756,-70.6504502,"33.33","-6.89","city","9972.55047191297",1,0,1,0,437,"CIV"
"CoP11",2000,"Gigiri (Kenya)","Parties","Nigeria","https://cites.org/sites/default/files/eng/cop/11/other/list_participants.pdf","NA","29372902728219513765849261887","Lagos State, Nigeria","State",-1.2325029,36.8072952,"6.5","3.6","state_province","3784.59805477275",1,0,0,1,475,"NGA"
"CoP10",1997,"Harare (Zimbabwe)","Parties","Senegal","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","46571764871491074819687288842","Dakar, Dakar Region, Senegal","City",-17.8567035,31.0601584,"14.69","-17.45","city","6432.15129617131",1,0,0,1,433,"SEN"
"CoP13",2004,"Bangkok (Thailand)","Parties","United Kingdom","https://cites.org/sites/default/files/common/cop/13/participants_party.pdf","NA","71599995657984872990419572491","Peterborough, England, United Kingdom","City",13.7524938,100.4935089,"52.57","-0.24","city","9504.80643175547",1,0,0,1,200,"GBR"
"CoP5",1985,"Buenos Aires (Argentina)","Observers","International Exotic Leather Council","https://cites.org/sites/default/files/eng/cop/05/E05-List-of-Participants-Observers.pdf","NA","15116910456510232595612738395","Washington, District of Columbia, United States","City",-34.6083696,-58.4440583,"38.9","-77.04","city","8394.8645763643",0,1,0,1,NA,NA
"CoP7",1989,"Lausanne (Switzerland)","Parties","Australia","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Parties.pdf","NA","16846263135982674809827170840","Canberra, Australia","City",46.5218269,6.6327025,"-35.3","149.1","city","16661.6290599816",1,0,0,1,900,"AUS"
"CoP7",1989,"Lausanne (Switzerland)","Observers","Robin des Bois (France)","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Observers.pdf","NA","58683779055394327205415312293","Paris, Ile-de-France, France","City",46.5218269,6.6327025,"48.85","2.35","city","411.949871364348",0,1,0,1,NA,NA
"CoP16",2013,"Bangkok (Thailand)","Parties","United Kingdom","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","71599995657984872990419572491","Peterborough, England, United Kingdom","City",13.7524938,100.4935089,"52.57","-0.24","city","9504.80643175547",1,0,0,1,200,"GBR"
"CoP6",1987,"Ottawa (Canada)","Observers","Florida Alligator Farmers Association (U.S.A.)","https://cites.org/sites/default/files/eng/cop/06/E06-List-of-Participants-Observers.pdf","NA","34540397249749275014173426980","Florida, United States","State",45.4208777,-75.6901106,"27.8","-81.5","state_province","2025.39800762311",0,1,0,1,NA,NA
"CoP4",1983,"Gaborone (Botswana)","Observers","American Fur Resources Foundation","https://cites.org/sites/default/files/eng/cop/04/E04-List-of-Participants-Observers.pdf","NA","48406205975028556431851853996","Vienna, Virginia, United States","City",-24.6581357,25.9088474,"38.9","-77.27","city","12791.7977682179",0,1,0,1,NA,NA
"CoP10",1997,"Harare (Zimbabwe)","Observers","Fellowship of Africa and Kambe Shumpei (Japan)","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","44607229403184011258345699698","Nakano, Japan","City",-17.8567035,31.0601584,"35.71","139.66","city","12807.61657966",0,1,0,1,NA,NA
"CoP16",2013,"Bangkok (Thailand)","Parties","United States of America","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","37053516438183059069267607080","Washington, District of Columbia, United States","City",13.7524938,100.4935089,"38.9","-77.04","city","14154.785998011",1,0,1,0,2,"USA"
"CoP12",2002,"Santiago (Chile)","Parties","Denmark","https://cites.org/sites/default/files/common/cop/12/participants_party.pdf","NA","54737263436557442366896443391","CoPenhagen, Capital Region of Denmark, Denmark","City",-33.4377756,-70.6504502,"55.69","12.57","city","12626.7047289153",1,0,0,1,390,"DNK"
"CoP9",1994,"Fort Lauderdale (United States of America)","Parties","United States of America","https://cites.org/sites/default/files/eng/cop/09/E9-participants.pdf","NA","78482189175159701238732214624","Office of Public Affairs Department of the Interior","KeptOriginal",26.1223084,-80.1433786,"38.9","-77.04","city","1450.03753017233",1,0,0,1,2,"USA"
"CoP12",2002,"Santiago (Chile)","Parties","Monaco","https://cites.org/sites/default/files/common/cop/12/participants_party.pdf","NA","66446777842540840351120972369","Monaco, Monaco","City",-33.4377756,-70.6504502,"43.73","7.43","city","11659.2740684318",1,0,0,1,221,"MCO"
"CoP16",2013,"Bangkok (Thailand)","Observers","The World Bank","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","2465411245145190073693929625","Washington, District of Columbia, United States","City",13.7524938,100.4935089,"38.9","-77.04","city","14154.785998011",0,1,1,0,NA,NA
"CoP13",2004,"Bangkok (Thailand)","Parties","Ecuador","https://cites.org/sites/default/files/common/cop/13/participants_party.pdf","NA","78325122379682733791106641444","Unidad de Vida Silvestre Direccción de Biodiversidad y Areas Naturales Ministerio de Medio Ambiente QUITO","KeptOriginal",13.7524938,100.4935089,"42.42","0.14","city","9806.87565524226",1,0,0,1,130,"ECU"
"CoP16",2013,"Bangkok (Thailand)","Observers","Gucci","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","71685334295684852997833494148","Scandicci, Tuscany, Italy","City",13.7524938,100.4935089,"43.76","11.18","city","8900.90360141097",0,1,0,1,NA,NA
"CoP10",1997,"Harare (Zimbabwe)","Parties","Canada","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","77022601018937765696493339886","Dongcheng District, Beijing, China","City",-17.8567035,31.0601584,"39.93","116.41","city","10887.2564671364",1,0,0,1,20,"CAN"
"CoP5",1985,"Buenos Aires (Argentina)","Observers","Japan General Merchandise Importers Association (Ivory Division)","https://cites.org/sites/default/files/eng/cop/05/E05-List-of-Participants-Observers.pdf","NA","79112020679542942669969176175","Meguro, Japan","City",-34.6083696,-58.4440583,"35.64","139.7","city","18363.301647637",0,1,0,1,NA,NA
"CoP16",2013,"Bangkok (Thailand)","Observers","Wwf","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","19983245627565337191927475791","Washington, District of Columbia, United States","City",13.7524938,100.4935089,"38.9","-77.04","city","14154.785998011",0,1,1,0,NA,NA
"CoP7",1989,"Lausanne (Switzerland)","Parties","Chile","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Parties.pdf","NA","26005058294638080569733545206","Corporation Nacional Forestal CONAF Bulnes - Piso SANTIAGO","KeptOriginal",46.5218269,6.6327025,"-33.4","-70.73","city","11774.3138033988",1,0,0,1,155,"CHL"
"CoP15",2010,"Doha (Qatar)","Parties","Canada","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","23251294162718248113717929846","Gatineau, Quebec, Canada","City",25.2856329,51.5264162,"45.43","-75.71","city","10515.7196906626",1,0,1,0,20,"CAN"
"CoP3",1981,"New Delhi (India)","Observers","World Wildlife Fund","https://cites.org/sites/default/files/eng/cop/03/E03-List-of-Participants-Observers.pdf","NA","44629460655569435162102429958","Gland, Vaud, Switzerland","City",28.6430858,77.2192671,"46.42","6.27","city","6337.45761814268",0,1,0,1,NA,NA
"CoP11",2000,"Gigiri (Kenya)","Parties","Netherlands","https://cites.org/sites/default/files/eng/cop/11/other/list_participants.pdf","NA","70316752449457826542949874664","Nairobi, Nairobi County, Kenya","City",-1.2325029,36.8072952,"-1.29","36.82","city","6.54753103738282",1,0,0,1,210,"NLD"
"CoP13",2004,"Bangkok (Thailand)","Parties","Netherlands","https://cites.org/sites/default/files/common/cop/13/participants_party.pdf","NA","45626459877236353525221725891","Ministry of Agriculture Nature and Food Quality EK THE HAGUE","KeptOriginal",13.7524938,100.4935089,"7.15","124.5","city","2723.6755802678",1,0,0,1,210,"NLD"
"CoP9",1994,"Fort Lauderdale (United States of America)","Observers","Humane Society of the United States","https://cites.org/sites/default/files/eng/cop/09/E9-participants.pdf","NA","78234840751228397244794924830","Washington, District of Columbia, United States","City",26.1223084,-80.1433786,"38.9","-77.04","city","1450.03753017233",0,1,0,1,NA,NA
"CoP13",2004,"Bangkok (Thailand)","Parties","Chile","https://cites.org/sites/default/files/common/cop/13/participants_party.pdf","NA","76342762764095871239837319417","Valparaíso, Valparaiso Region, Chile","City",13.7524938,100.4935089,"-33.05","-71.62","city","17725.4727885127",1,0,0,1,155,"CHL"
"CoP13",2004,"Bangkok (Thailand)","Parties","Indonesia","https://cites.org/sites/default/files/common/cop/13/participants_party.pdf","NA","20408768547480697111682945362","Director for Biodiversity Conservation Ministry of Forestry Gedung Manggala Wanabhakti Blok JL Gatot Subroto JAKARTA","KeptOriginal",13.7524938,100.4935089,"-6.18","106.84","city","2324.46796689103",1,0,0,1,850,"IDN"
"CoP12",2002,"Santiago (Chile)","Parties","Chad","https://cites.org/sites/default/files/common/cop/12/participants_party.pdf","NA","24821599826488486295720791196","Direction de protection de la faune et des parcs nationaux Direction générale Ministère de l'environnement et de l'eau N'DJAMENA","KeptOriginal",-33.4377756,-70.6504502,"-30.35","28.78","city","8980.98748559428",1,0,1,0,483,"TCD"
"CoP9",1994,"Fort Lauderdale (United States of America)","Parties","Peru","https://cites.org/sites/default/files/eng/cop/09/E9-participants.pdf","NA","29847648304238341580040227699","Lima, Lima, Peru","City",26.1223084,-80.1433786,"-12.05","-77.03","city","4257.90941933607",1,0,0,1,135,"PER"
"CoP10",1997,"Harare (Zimbabwe)","Parties","Canada","https://cites.org/sites/default/files/eng/cop/10/E10-participants.pdf","NA","3625771946623097829152325719","Paris, Ile-de-France, France","City",-17.8567035,31.0601584,"48.85","2.35","city","7942.82630419545",1,0,1,0,20,"CAN"
"CoP2",1979,"San José (Costa Rica)","Observers","Israel","https://cites.org/sites/default/files/eng/cop/02/E02-List-of-participants-Observers.pdf","NA","62509009680795048740914887109","Tel-Aviv, Tel-Aviv District, Israel","City",9.9325427,-84.0795782,"32.09","34.78","city","12023.3913256013",0,1,0,1,666,"ISR"
"CoP1",1976,"Bern (Switzerland)","Parties","Sweden","NA","Mr.","68626547966302894054206632752","Solna, Sweden","City",46.9484742,7.4521749,"59.37","18.02","city","1546.25352581439",1,0,0,1,380,"SWE"
"CoP2",1979,"San José (Costa Rica)","Observers","Fauna Preservation Society","https://cites.org/sites/default/files/eng/cop/02/E02-List-of-participants-Observers.pdf","NA","12333287469016929764740776825","IUCN Marshal London England","KeptOriginal",9.9325427,-84.0795782,"51.5","-0.14","city","8726.45268107018",0,1,0,1,NA,NA
"CoP16",2013,"Bangkok (Thailand)","Parties","Sweden","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","57587502690713930995652571463","Jönköping, Sweden","City",13.7524938,100.4935089,"57.78","14.17","city","8500.62767165619",1,0,1,0,380,"SWE"
"CoP15",2010,"Doha (Qatar)","Parties","Senegal","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","13604393007121575884597522862","Doha, Qatar","City",25.2856329,51.5264162,"25.29","51.53","city","0.604675549195918",1,0,0,1,433,"SEN"
"CoP16",2013,"Bangkok (Thailand)","Parties","Malaysia","https://cites.org/sites/default/files/eng/cop/16/OfficialListofParticipants.pdf","NA","71966393697932905369051517084","Kuala Lumpur, Kuala Lumpur, Malaysia","City",13.7524938,100.4935089,"3.15","101.69","city","1186.24339478738",1,0,0,1,820,"MYS"
"CoP7",1989,"Lausanne (Switzerland)","Parties","South Africa","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Parties.pdf","NA","35160285447645746470615526160","Cape Town, Western Cape, South Africa","City",46.5218269,6.6327025,"-33.93","18.42","city","9023.53517824883",1,0,0,1,560,"ZAF"
"CoP7",1989,"Lausanne (Switzerland)","Parties","Peru","https://cites.org/sites/default/files/eng/cop/07/E07-List-of-Participants-Parties.pdf","NA","12096323777308345699906346373","Bern, Bern, Switzerland","City",46.5218269,6.6327025,"46.95","7.45","city","78.3971584282021",1,0,0,1,135,"PER"
"CoP12",2002,"Santiago (Chile)","Observers","Iisd-Earth Negotiations Bulletin","https://cites.org/sites/default/files/common/cop/12/participants_observer.pdf","NA","3180133002612756149755543098","Thessaloniki Municipal Unit, Central Macedonia, Greece","City",-33.4377756,-70.6504502,"40.62","22.96","city","12619.7991152047",0,1,1,0,NA,NA
"CoP15",2010,"Doha (Qatar)","Parties","Switzerland","https://cites.org/sites/default/files/common/cop/15/cop15_participants_parties.pdf","NA","16892146794350958220581447771","Bern, Bern, Switzerland","City",25.2856329,51.5264162,"46.92","7.41","city","4552.73840000564",1,0,0,1,225,"CHE"
"CoP9",1994,"Fort Lauderdale (United States of America)","Parties","Austria","https://cites.org/sites/default/files/eng/cop/09/E9-participants.pdf","NA","13997644301240870459752199712","Vienna, Austria","KeptOriginal",26.1223084,-80.1433786,"48.21","16.37","city","8329.16420318269",1,0,0,1,305,"AUT"
"CoP5",1985,"Buenos Aires (Argentina)","Observers","International League for the Protection of Cetaceans","https://cites.org/sites/default/files/eng/cop/05/E05-List-of-Participants-Observers.pdf","NA","48269260705078308048266253904","Meryon Rye E Susseх England","KeptOriginal",-34.6083696,-58.4440583,"50.95","0.57","city","11122.6044902614",0,1,0,1,NA,NA
